Date,BTC_weighted_price,BTC_volume,BTC_open,BTC_high,BTC_low,BTC_close,BTC_pcnt_change,ETH_weighted_price,ETH_volume,ETH_open,ETH_high,ETH_low,ETH_close,ETH_pcnt_change,LTC_weighted_price,LTC_volume,LTC_open,LTC_high,LTC_low,LTC_close,LTC_pcnt_change
2012-03-11,4.90133894053,24.68252609,4.94,5.0,4.84,5.0,1.214574898785417,,,,,,,,,,,,,,
2012-03-12,4.95522424377,108.76167997,4.85,4.99,4.85,4.99,2.886597938144342,,,,,,,,,,,,,,
2012-03-13,5.05766406102,734.65394306,4.99,5.32,4.96,5.3,6.21242484969939,,,,,,,,,,,,,,
2012-03-14,5.35317643827,1129.74327668,5.32,5.44,5.27,5.27,-0.9398496240601637,,,,,,,,,,,,,,
2012-03-15,5.36037670462,633.16784947,5.27,5.43,5.27,5.39,2.2770398481973455,,,,,,,,,,,,,,
2012-03-16,5.35702190569,157.69794429,5.3,5.41,5.26,5.26,-0.7547169811320762,,,,,,,,,,,,,,
2012-03-17,5.39169235538,143.87332861,5.38,5.42,5.38,5.42,0.7434944237918222,,,,,,,,,,,,,,
2012-03-18,5.33661414619,412.66352117,5.41,5.42,5.24,5.25,-2.957486136783736,,,,,,,,,,,,,,
2012-03-19,5.07478390585,415.19375675,5.24,5.37,4.83,4.83,-7.824427480916032,,,,,,,,,,,,,,
2012-03-20,4.89074203454,279.75591707,4.82,4.97,4.79,4.79,-0.6224066390041545,,,,,,,,,,,,,,
2012-03-21,4.93480873135,9.32862903,4.9,4.96,4.9,4.96,1.2244897959183594,,,,,,,,,,,,,,
2012-03-22,4.87204902613,396.4109947,4.86,4.98,4.72,4.91,1.0288065843621363,,,,,,,,,,,,,,
2012-03-23,4.62908467011,393.13018484,4.73,4.89,4.6,4.78,1.0570824524312858,,,,,,,,,,,,,,
2012-03-24,4.80440675275,191.53850932,4.72,4.83,4.62,4.83,2.3305084745762783,,,,,,,,,,,,,,
2012-03-25,4.58219991831,15.47357192,4.61,4.84,4.54,4.54,-1.5184381778741924,,,,,,,,,,,,,,
2012-03-26,4.56575063526,64.76455997,4.6,4.75,4.54,4.73,2.8260869565217566,,,,,,,,,,,,,,
2012-03-27,4.78734419836,369.59079623,4.54,4.97,4.54,4.84,6.607929515418498,,,,,,,,,,,,,,
2012-03-28,4.85547174134,418.64896346,4.75,4.95,4.72,4.93,3.7894736842105203,,,,,,,,,,,,,,
2012-03-29,4.84445189911,110.39370311,4.93,4.93,4.77,4.84,-1.825557809330626,,,,,,,,,,,,,,
